Index,Salary,Location,Website,Scrape Date
AB+Welder,$20.99,"Dallas, US",SimplyHired,2023-11-30
ABA+Behavior+Analyst,$21.75,"Dallas, US",SimplyHired,2023-11-30
ABA+Behavioral+Therapist,$23.18,"Dallas, US",SimplyHired,2023-11-30
ABA+Counselor,$23.20,"Dallas, US",SimplyHired,2023-11-30
ABA+Direct+Service+Provider,$16.14,"Dallas, US",SimplyHired,2023-11-30
ABA+Home+Therapist,$23.18,"Dallas, US",SimplyHired,2023-11-30
ABA+Instructor,$24.29,"Dallas, US",SimplyHired,2023-11-30
ABA+Line+Therapist,$23.18,"Dallas, US",SimplyHired,2023-11-30
ABA+Program+Coordinator,$20.28,"Dallas, US",SimplyHired,2023-11-30
ABA+Program+Instructor,$18.79,"Dallas, US",SimplyHired,2023-11-30
ABA+Program+Manager,"$87,884","Dallas, US",SimplyHired,2023-11-30
ABA+Registered+Behavioral+Technician,$21.13,"Dallas, US",SimplyHired,2023-11-30
ABA+Service+Provider,$16.14,"Dallas, US",SimplyHired,2023-11-30
ABA+Therapist,$23.18,"Dallas, US",SimplyHired,2023-11-30
ABA+Therapist+Assistant,$23.18,"Dallas, US",SimplyHired,2023-11-30
ABA+Tutor,$24.78,"Dallas, US",SimplyHired,2023-11-30
Abalone+Fisherman,$17.88,"Dallas, US",SimplyHired,2023-11-30
Abalone+Processor,$15.16,"Dallas, US",SimplyHired,2023-11-30
Abalone+Sales+Manager,"$94,035","Dallas, US",SimplyHired,2023-11-30
ABAP+Analyst,"$74,359","Dallas, US",SimplyHired,2023-11-30
ABAP+Business+Analyst,"$84,715","Dallas, US",SimplyHired,2023-11-30
ABAP+Business+Systems+Analyst,"$94,686","Dallas, US",SimplyHired,2023-11-30
ABAP+Computer+Programmer,"$77,872","Dallas, US",SimplyHired,2023-11-30
ABAP+Configuration+Specialist,$19.88,"Dallas, US",SimplyHired,2023-11-30
ABAP+Consultant,"$88,450","Dallas, US",SimplyHired,2023-11-30
ABAP+Coordinator,$19.30,"Dallas, US",SimplyHired,2023-11-30
ABAP+Data+Migration+Consultant,"$105,095","Dallas, US",SimplyHired,2023-11-30
ABAP+Developer,$70.34,"Dallas, US",SimplyHired,2023-11-30
ABAP+Developer+Consultant,"$91,556","Dallas, US",SimplyHired,2023-11-30
ABAP+Development+Analyst,"$75,890","Dallas, US",SimplyHired,2023-11-30
ABAP+Onsite+Coordinator,$19.30,"Dallas, US",SimplyHired,2023-11-30
ABAP+Programmer,$36.82,"Dallas, US",SimplyHired,2023-11-30
ABAP+Programmer+Analyst,"$65,301","Dallas, US",SimplyHired,2023-11-30
ABAP+Senior+Developer,"$107,510","Dallas, US",SimplyHired,2023-11-30
ABAP+Software+Developer,"$117,671","Dallas, US",SimplyHired,2023-11-30
ABAP+Systems+Analyst,"$92,249","Dallas, US",SimplyHired,2023-11-30
ABAP+Technical+Consultant,"$106,523","Dallas, US",SimplyHired,2023-11-30
ABC+Orthotist,"$80,297","Dallas, US",SimplyHired,2023-11-30
Abdominal+Sonographer,"$2,047","Dallas, US",SimplyHired,2023-11-30
ABE+Instructor,$24.29,"Dallas, US",SimplyHired,2023-11-30
ABE+Teacher,$18.15,"Dallas, US",SimplyHired,2023-11-30
Able+Bodied+Seaman,$274,"Dallas, US",SimplyHired,2023-11-30
Able+Bodied+Seaman+Oiler,$274,"Dallas, US",SimplyHired,2023-11-30
Able+Bodied+Tankerman,$31.63,"Dallas, US",SimplyHired,2023-11-30
Able+Bodied+Watchman,$15.46,"Dallas, US",SimplyHired,2023-11-30
Able+Seaman,$274,"Dallas, US",SimplyHired,2023-11-30
Able+Seaman+Rigger,"$50,141","Dallas, US",SimplyHired,2023-11-30
Able+Seaman+Unlimited,$274,"Dallas, US",SimplyHired,2023-11-30
ABO+Certified+Optical+Manager,$21.92,"Dallas, US",SimplyHired,2023-11-30
Abrasive+Blaster,$18.58,"Dallas, US",SimplyHired,2023-11-30
Abrasive+Blaster+Apprentice,$18.58,"Dallas, US",SimplyHired,2023-11-30
Abrasive+Blasting+Operator,$18.15,"Dallas, US",SimplyHired,2023-11-30
Abrasive+Blasting+Technician,$21.50,"Dallas, US",SimplyHired,2023-11-30
ABS+Mechanic,$25.36,"Dallas, US",SimplyHired,2023-11-30
ABS+Technician,$21.50,"Dallas, US",SimplyHired,2023-11-30
Abstractor,$26.11,"Dallas, US",SimplyHired,2023-11-30
Abuse+Analyst,"$74,359","Dallas, US",SimplyHired,2023-11-30
Abuse+Hotline+Manager,"$81,054","Dallas, US",SimplyHired,2023-11-30
AC+DC+Power+Electronics+Researcher,"$92,428","Dallas, US",SimplyHired,2023-11-30
AC+Delco+Parts+Sales+Representative,"$76,967","Dallas, US",SimplyHired,2023-11-30
AC+Electrical+Mechanic,$25.36,"Dallas, US",SimplyHired,2023-11-30
Ac+Engineer,"$93,192","Dallas, US",SimplyHired,2023-11-30
AC+Foreman,$26.99,"Dallas, US",SimplyHired,2023-11-30
AC+Installer,$20.07,"Dallas, US",SimplyHired,2023-11-30
AC+Mechanic,$25.36,"Dallas, US",SimplyHired,2023-11-30
AC+Repairer,$20.48,"Dallas, US",SimplyHired,2023-11-30
AC+Service+Technician,$24.76,"Dallas, US",SimplyHired,2023-11-30
AC+Specialist,$24.76,"Dallas, US",SimplyHired,2023-11-30
AC+Technician,$24.76,"Dallas, US",SimplyHired,2023-11-30
AC+Technician+Helper,$24.76,"Dallas, US",SimplyHired,2023-11-30
Academic+Adjunct+Lecturer,$64.59,"Dallas, US",SimplyHired,2023-11-30
Academic+Administrator,"$76,972","Dallas, US",SimplyHired,2023-11-30
Academic+Advisement+Coordinator,"$45,740","Dallas, US",SimplyHired,2023-11-30
Academic+Advisement+director,"$45,740","Dallas, US",SimplyHired,2023-11-30
Academic+Advising+Assistant,"$45,740","Dallas, US",SimplyHired,2023-11-30
Academic+Advising+Director,"$45,740","Dallas, US",SimplyHired,2023-11-30
Academic+Advisor,"$45,740","Dallas, US",SimplyHired,2023-11-30
Academic+Advisor+And+Course+Instructor,"$45,740","Dallas, US",SimplyHired,2023-11-30
Academic+Affairs+Administrator,"$76,972","Dallas, US",SimplyHired,2023-11-30
Academic+Affairs+Assistant,"$50,757","Dallas, US",SimplyHired,2023-11-30
Academic+Affairs+Consultant,"$150,653","Dallas, US",SimplyHired,2023-11-30
Academic+Affairs+Coordinator,"$50,757","Dallas, US",SimplyHired,2023-11-30
Academic+Affairs+Dean,"$100,219","Dallas, US",SimplyHired,2023-11-30
Academic+Affairs+Director,"$112,810","Dallas, US",SimplyHired,2023-11-30
Academic+Affairs+Manager,"$150,653","Dallas, US",SimplyHired,2023-11-30
Academic+Affairs+Specialist,"$48,588","Dallas, US",SimplyHired,2023-11-30
Academic+Aide,$15.68,"Dallas, US",SimplyHired,2023-11-30
Academic+Analytic+researcher,"$92,428","Dallas, US",SimplyHired,2023-11-30
Academic+And+Career+Advisor,"$47,152","Dallas, US",SimplyHired,2023-11-30
Academic+And+Career+Counselor,"$47,206","Dallas, US",SimplyHired,2023-11-30
