Job,Salary,Salary_Type,Location,Website,Scrape Date
Comic Book Artist,"54,170",Annually,US,Onlinedegree,2023-12-01
Copy Editor,"64,910",Annually,US,Onlinedegree,2023-12-01
Cosmetologist,"28,770",Annually,US,Onlinedegree,2023-12-01
Costume Designer,"73,180",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Curator,"56,990",Annually,US,Onlinedegree,2023-12-01
Dance Professor,"76,710",Annually,US,Onlinedegree,2023-12-01
Drama Professor,"76,710",Annually,US,Onlinedegree,2023-12-01
Entertainment Lawyer,"136,260",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Fashion Designer,"73,180",Annually,US,Onlinedegree,2023-12-01
Fashion Model,"37,240",Annually,US,Onlinedegree,2023-12-01
Fashion Stylist,"52,870",Annually,US,Onlinedegree,2023-12-01
Fitness Model,"37,240",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Football Coach,"40,050",Annually,US,Onlinedegree,2023-12-01
Football Scout,"40,050",Annually,US,Onlinedegree,2023-12-01
Furniture Maker,"35,710",Annually,US,Onlinedegree,2023-12-01
Glass Blower,"35,710",Annually,US,Onlinedegree,2023-12-01
Go-Go Dancer,4.6%,Annually,US,Onlinedegree,2023-12-01
Goldsmith,"42,380",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Hair Stylist,"28,770",Annually,US,Onlinedegree,2023-12-01
Hip Hop Dancer,4.6%,Annually,US,Onlinedegree,2023-12-01
Ice Sculpter,"54,170",Annually,US,Onlinedegree,2023-12-01
Illustrator,"54,170",Annually,US,Onlinedegree,2023-12-01
Immigration Lawyer,"136,260",Annually,US,Onlinedegree,2023-12-01
Interior Decorator,"55,510",Annually,US,Onlinedegree,2023-12-01
Interior Designer,"55,510",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Landscape Architect,"68,600",Annually,US,Onlinedegree,2023-12-01
Lapidarist,"42,380",Annually,US,Onlinedegree,2023-12-01
Magazine Editor,"64,910",Annually,US,Onlinedegree,2023-12-01
Magician,7%,Annually,US,Onlinedegree,2023-12-01
Makeup Artist,"28,770",Annually,US,Onlinedegree,2023-12-01
Modeling Agent,"95,810",Annually,US,Onlinedegree,2023-12-01
Muralist,"54,170",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Music Professor,"76,710",Annually,US,Onlinedegree,2023-12-01
News Anchor,"89,240",Annually,US,Onlinedegree,2023-12-01
Newspaper Editor,"64,910",Annually,US,Onlinedegree,2023-12-01
Nude Modeling,"37,240",Annually,US,Onlinedegree,2023-12-01
Photojournalist,"40,280",Annually,US,Onlinedegree,2023-12-01
Piano Tuner,"38,590",Annually,US,Onlinedegree,2023-12-01
Plus-Size Model,"37,240",Annually,US,Onlinedegree,2023-12-01
Potter,"31,690",Annually,US,Onlinedegree,2023-12-01
Professional Athlete,"80,490",Annually,US,Onlinedegree,2023-12-01
Professional Poker Player,7%,Annually,US,Onlinedegree,2023-12-01
Projectionist,"24,540",Annually,US,Onlinedegree,2023-12-01
Publishing Agent,"95,810",Annually,US,Onlinedegree,2023-12-01
Sculpter,"35,710",Annually,US,Onlinedegree,2023-12-01
Sports Agent,"95,810",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Sports Photographer,"40,280",Annually,US,Onlinedegree,2023-12-01
Stuntman,7%,Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Talent Agent,"95,810",Annually,US,Onlinedegree,2023-12-01
Tattoo Artist,"62,130",Annually,US,Onlinedegree,2023-12-01
Theatrical Dancer,4.6%,Annually,US,Onlinedegree,2023-12-01
Video Game Designer,"70,300",Annually,US,Onlinedegree,2023-12-01
Visual Merchandiser,"29,790",Annually,US,Onlinedegree,2023-12-01
Weatherman News Anchor,"90,210",Annually,US,Onlinedegree,2023-12-01
Wedding Photographer,"40,280",Annually,US,Onlinedegree,2023-12-01
Auto Body Painter,"44,920",Annually,US,Onlinedegree,2023-12-01
Auto Body Technician,"44,590",Annually,US,Onlinedegree,2023-12-01
Auto Detailer,"23,940",Annually,US,Onlinedegree,2023-12-01
Auto Parts Salesman,"32,750",Annually,US,Onlinedegree,2023-12-01
Automotive Electrician,"33,500",Annually,US,Onlinedegree,2023-12-01
Automotive Mechanic,"40,720",Annually,US,Onlinedegree,2023-12-01
Car Designer,"69,820",Annually,US,Onlinedegree,2023-12-01
CNC Machinist,"42,120",Annually,US,Onlinedegree,2023-12-01
Diesel Mechanic,"46,110",Annually,US,Onlinedegree,2023-12-01
Electric Motor Mechanic,"43,760",Annually,US,Onlinedegree,2023-12-01
Electrical Engineer (EE),"97,340",Annually,US,Onlinedegree,2023-12-01
Farm Equipment Mechanic,"38,510",Annually,US,Onlinedegree,2023-12-01
Glazier,"45,420",Annually,US,Onlinedegree,2023-12-01
Graphic Designer,"51,640",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Industrial Robotics Mechanic,"56,670",Annually,US,Onlinedegree,2023-12-01
Mechanical Drafter,"56,610",Annually,US,Onlinedegree,2023-12-01
Mechanical Engineer,"88,190",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Plant Manager,"103,720",Annually,US,Onlinedegree,2023-12-01
Production Manager,"103,720",Annually,US,Onlinedegree,2023-12-01
Public Transit Bus Driver,"40,160",Annually,US,Onlinedegree,2023-12-01
Robotics Technician,"56,320",Annually,US,Onlinedegree,2023-12-01
Telecommunications Engineer,"102,390",Annually,US,Onlinedegree,2023-12-01
Tractor Mechanic,"38,510",Annually,US,Onlinedegree,2023-12-01
Valet,"22,520",Annually,US,Onlinedegree,2023-12-01
Windshield Repair Technician,"35,210",Annually,US,Onlinedegree,2023-12-01
Aerospace Engineer,"110,570",Annually,US,Onlinedegree,2023-12-01
Aerospace Technician,"68,620",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Air Traffic Controller,"118,740",Annually,US,Onlinedegree,2023-12-01
Aircraft Cargo Supervisor,"48,870",Annually,US,Onlinedegree,2023-12-01
Aircraft Manufacturing,"51,040",Annually,US,Onlinedegree,2023-12-01
Aircraft Mechanic,"60,160",Annually,US,Onlinedegree,2023-12-01
Airfield Operations Specialist,"55,400",Annually,US,Onlinedegree,2023-12-01
Airline Pilot,"136,400",Annually,US,Onlinedegree,2023-12-01
Avionics Technician,"60,200",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Charter Jet Pilot,"84,510",Annually,US,Onlinedegree,2023-12-01
