Job_Title,Salary,Salary_Type,Location,Website,Scrape Date
cna,"37,569",Annually,US,Zengig,30-11-2023
cnc-machinist,"39,917",Annually,US,Zengig,30-11-2023
collections-manager,"56,228",Annually,US,Zengig,30-11-2023
collections-representative,"37,416",Annually,US,Zengig,30-11-2023
collections-specialist,"37,416",Annually,US,Zengig,30-11-2023
college-professor,"69,781",Annually,US,Zengig,30-11-2023
commercial-pilot,"99,296",Annually,US,Zengig,30-11-2023
communications-director,"79,480",Annually,US,Zengig,30-11-2023
communications-technician,"47,979",Annually,US,Zengig,30-11-2023
community-manager,"42,477",Annually,US,Zengig,30-11-2023
community-relations-coordinator,"43,066",Annually,US,Zengig,30-11-2023
compensation-analyst,"62,379",Annually,US,Zengig,30-11-2023
composite-mechanic,"43,853",Annually,US,Zengig,30-11-2023
computer-analyst,"73,719",Annually,US,Zengig,30-11-2023
computer-engineer,"76,438",Annually,US,Zengig,30-11-2023
computer-programmer,"75,671",Annually,US,Zengig,30-11-2023
computer-scientist,"85,250",Annually,US,Zengig,30-11-2023
computer-support-specialist,"38,601",Annually,US,Zengig,30-11-2023
concierge,"28,355",Annually,US,Zengig,30-11-2023
construction-foreman,"56,651",Annually,US,Zengig,30-11-2023
construction-manager,"70,802",Annually,US,Zengig,30-11-2023
construction-project-captain,"61,545",Annually,US,Zengig,30-11-2023
construction-project-manager,"78,062",Annually,US,Zengig,30-11-2023
construction-scheduler,"55,641",Annually,US,Zengig,30-11-2023
construction-superintendent,"80,358",Annually,US,Zengig,30-11-2023
construction-vice-president,"1,08,771",Annually,US,Zengig,30-11-2023
construction-worker,"34,261",Annually,US,Zengig,30-11-2023
consultant,"64,604",Annually,US,Zengig,30-11-2023
content-manager,"57,084",Annually,US,Zengig,30-11-2023
contract-administrator,"58,159",Annually,US,Zengig,30-11-2023
contract-attorney,"87,104",Annually,US,Zengig,30-11-2023
contract-negotiator,"66,605",Annually,US,Zengig,30-11-2023
controller,"98,213",Annually,US,Zengig,30-11-2023
copywriter,"57,718",Annually,US,Zengig,30-11-2023
coroner,"56,959",Annually,US,Zengig,30-11-2023
corporate-counsel,"1,02,498",Annually,US,Zengig,30-11-2023
corporate-lawyer,"1,02,498",Annually,US,Zengig,30-11-2023
corporate-recruiter,"63,782",Annually,US,Zengig,30-11-2023
correctional-officer,"33,954",Annually,US,Zengig,30-11-2023
cosmetologist,"35,035",Annually,US,Zengig,30-11-2023
cost-accountant,"57,427",Annually,US,Zengig,30-11-2023
cost-estimator,"61,143",Annually,US,Zengig,30-11-2023
counselor,"47,341",Annually,US,Zengig,30-11-2023
court-reporter,"54,999",Annually,US,Zengig,30-11-2023
cpa,"68,128",Annually,US,Zengig,30-11-2023
crane-operator,"41,702",Annually,US,Zengig,30-11-2023
creative-director,"89,270",Annually,US,Zengig,30-11-2023
credentialing-specialist,"36,123",Annually,US,Zengig,30-11-2023
credit-analyst,"59,256",Annually,US,Zengig,30-11-2023
credit-specialist,"56,203",Annually,US,Zengig,30-11-2023
crime-scene-cleaner,"26,986",Annually,US,Zengig,30-11-2023
crime-scene-investigator,"43,313",Annually,US,Zengig,30-11-2023
