Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
Semi Truck Driving Dedicated OTR CDL A - Richardson TX,"85,000 - 95,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Customer Service Sales Representative (Work anywhere in the country),"25,000 - 150,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Part-Time/Weekend Customer Service Rep $15/hr- Immediate Hire!!!,"30,000 - 30,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Customer Service Representative (Merchant Care Specialist),"31,000 - 41,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Remote Call Center Agent,"32,000 - 32,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Sales Representative,"125,000 - 250,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Business Development Center Agent III,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Assistant, Sales","35,000 - 46,000",Annual,"Frisco, TX",USNEWS.com,2023-12-01
Election Services Associate,"36,000 - 39,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Full Time Customer Sales Representative,"40,000 - 50,000",Annual,"Irving, TX",USNEWS.com,2023-12-01
Evening Digital Customer Service Representative,"34,000 - 34,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Bilingual Contact Center Representative,"38,400 - 38,400",Annual,"Addison, TX",USNEWS.com,2023-12-01
Sales Operations Specialist,,Annual,"Richardson, TX",USNEWS.com,2023-12-01
Customer Service Specialist,"50,000 - 55,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Entry Level Customer Service Representative,"38,000 - 58,000",Annual,"Irving, TX",USNEWS.com,2023-12-01
Remote Customer Service Associate,"29,000 - 30,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative,"30,000 - 34,000",Annual,"Carrollton, TX",USNEWS.com,2023-12-01
Customer Sales Representative,"55,000 - 60,000",Annual,"Addison, TX",USNEWS.com,2023-12-01
Call Center Sales Representative,"50,000 - 150,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
OPERATIONS ADMINISTRATIVE ASSISTANT - LAW FIRM,"45,000 - 45,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Entry Level Sales Representative,"40,000 - 55,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Call Center Representative,"31,500 - 39,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Service Manager,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Client Service Manager,"65,000 - 85,000",Annual,"Frisco, TX",USNEWS.com,2023-12-01
Dry Van Owner-Operator - OTR,"325,000 - 450,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
EQUIPMENT UTILIZATION COORDINATOR,,Annual,"McKinney, TX",USNEWS.com,2023-12-01
Customer Advocate,"32,000 - 33,000",Annual,"Garland, TX",USNEWS.com,2023-12-01
Warranty Technician,"44,000 - 54,000",Annual,"Carrollton, TX",USNEWS.com,2023-12-01
Dispatch / Customer Service Representative,"29,000 - 39,000",Annual,"Forney, TX",USNEWS.com,2023-12-01
Owner-Operator - Box truck OTR,"275,000 - 375,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Administrative Assistant,"40,000 - 45,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Truck Driver Class A - Regional TX - Home Weekly,"50,000 - 55,000",Annual,"Addison, TX",USNEWS.com,2023-12-01
Customer Service Coordinator,"34,500 - 45,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Class A Flatbed Driver Dallas TX,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Bilingual Shipping Clerk,"32,000 - 36,000",Annual,"Coppell, TX",USNEWS.com,2023-12-01
Shipping Clerk,"37,000 - 37,000",Annual,"Coppell, TX",USNEWS.com,2023-12-01
Customer Service Representative - Tier 2,,Annual,"Carrollton, TX",USNEWS.com,2023-12-01
Administrative Specialist,"44,500 - 60,300",Annual,"Plano, TX",USNEWS.com,2023-12-01
Customer Service Agent/Reservationist,"36,000 - 40,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Outside Sales Representative B2B- Richardson, TX","75,000 - 250,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Customer Relations Specialist,"36,000 - 50,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Regional Class A CDL Driver,"60,000 - 75,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Bilingual Customer Contact Center Rep English Spanish (Full Time, Onsite)","31,000 - 31,000",Annual,"Southlake, TX",USNEWS.com,2023-12-01
Customer Service Representative II,"29,500 - 40,000",Annual,"Grapevine, TX",USNEWS.com,2023-12-01
Customer Care Representative,"29,500 - 40,500",Annual,"Irving, TX",USNEWS.com,2023-12-01
"Client Service Manager, Pharmacist (10 a.m. to 7 p.m. Shift)",,Annual,"Grapevine, TX",USNEWS.com,2023-12-01
"Client Services Representative, Pharmacy Technician (10 a.m. to 7 p.m. Shift)","29,500 - 40,000",Annual,"Grapevine, TX",USNEWS.com,2023-12-01
Cybersecurity Customer Service Associate,"28,500 - 39,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Clinical Administrative Assistant,"33,500 - 45,500",Annual,"Plano, TX",USNEWS.com,2023-12-01
PT Administrative Assistant,"30,000 - 30,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Service Assistant,"40,000 - 50,000",Annual,"Southlake, TX",USNEWS.com,2023-12-01
Appointment Specialist,"40,000 - 60,000",Annual,"Irving, TX",USNEWS.com,2023-12-01
Shipping and Receiving Associate,"32,000 - 37,000",Annual,"Lewisville, TX",USNEWS.com,2023-12-01
Customer Service and Sales Rep,"33,000 - 55,000",Annual,"Southlake, TX",USNEWS.com,2023-12-01
Administrative Assistant,"55,000 - 75,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Bilingual Business Development Center Agent Tier III (On-Site),"40,000 - 44,000",Annual,"Addison, TX",USNEWS.com,2023-12-01
Sales Operations Coordinator,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Data Entry/Meter Administrator,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative,"30,000 - 32,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Call Center Team Lead - 1178632,"40,000 - 42,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Customer Service Representative,"29,000 - 39,500",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Customer Service Representative,"31,000 - 42,000",Annual,"Garland, TX",USNEWS.com,2023-12-01
"Agency Name: L&K Logistics, LLC: Flatbed/Stepdeck Ad",,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Sales and Service Specialist,,Annual,"Plano, TX",USNEWS.com,2023-12-01
Truck Driver Class A Options Choosing Pay Scale,"75,000 - 100,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"KAM - Key Acct Mgr - East, TX",,Annual,"Richardson, TX",USNEWS.com,2023-12-01
Entry Level Account Manager,"50,000 - 70,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Warehouse Shipping Specialist,"35,500 - 46,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CSR Manager,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
OTR Truck Driver CDL Class A,"90,000 - 200,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative,"30,000 - 36,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Specialist- Bilingual,"31,500 - 41,000",Annual,"Fort Worth, TX",USNEWS.com,2023-12-01
Bilingual English/Spanish Customer Care Specialist,"40,000 - 44,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Bilingual Strategy Specialist Assistant,"40,000 - 40,000",Annual,"Irving, TX",USNEWS.com,2023-12-01
Administrative Assistant,"35,500 - 48,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Administrative Coordinator,,Annual,"Plano, TX",USNEWS.com,2023-12-01
Class A CDL Local Driver,"60,000 - 65,000",Annual,"Irving, TX",USNEWS.com,2023-12-01
Business Administrator,"100,000 - 100,000",Annual,"Addison, TX",USNEWS.com,2023-12-01
Shipping Associate,"32,000 - 34,000",Annual,"Lancaster, TX",USNEWS.com,2023-12-01
Sales Support Assistant,"33,500 - 44,000",Annual,"Carrollton, TX",USNEWS.com,2023-12-01
CDL-A Local Driver,"48,000 - 48,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CDL-A Truck Driver,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
CDL Truck Driver,"62,000 - 79,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CDL-A Truck Driver,"70,000 - 70,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CDL-A Truck Driver,"65,500 - 87,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CDL-A Truck Driver,"90,000 - 90,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CDL-A Truck Driver,"72,000 - 72,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CDL-A OTR Drivers & Owner Operators,"100,000 - 100,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CDL-A Flatbed Truck Driver,"91,689 - 91,689",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Plano, TX - Retail Merchandiser - Flex Scheduling and PT","26,500 - 32,500",Annual,"Plano, TX",USNEWS.com,2023-12-01
Equipment Support II,"34,000 - 45,500",Annual,"Southlake, TX",USNEWS.com,2023-12-01
Client Service Associate - Dallas,"28,500 - 39,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Admin Assistant Downtown Dallas Enforcement Division,"40,000 - 40,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Electronic Window Film Technician,"40,000 - 65,000",Annual,"Carrollton, TX",USNEWS.com,2023-12-01
Call Center Receptionist,,Annual,"Flower Mound, TX",USNEWS.com,2023-12-01
Customer Relations Manager,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Account Manager,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Legal Sr On-Site Svcs Spec,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Product Specialist, Inside Sales Rep",,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Advisor Onboarding Associate I,"29,000 - 38,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
ASO Account Coordinator,"36,500 - 47,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CDL Class A Driver,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
SHIPPING & RECEIVING ASSISTANT,"31,000 - 38,500",Annual,"Irving, TX",USNEWS.com,2023-12-01
