Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
Dog Breeder,N/A,Annual,US,CareerExplorer.com,2023-12-01
Dog Groomer,22k,Annual,US,CareerExplorer.com,2023-12-01
Dog Trainer,26k,Annual,US,CareerExplorer.com,2023-12-01
Dog Walker,25k,Annual,US,CareerExplorer.com,2023-12-01
Doula,N/A,Annual,US,CareerExplorer.com,2023-12-01
Drafter,60k,Annual,US,CareerExplorer.com,2023-12-01
Drill Press Operator,38k,Annual,US,CareerExplorer.com,2023-12-01
Drug and Alcohol Counselor,31k,Annual,US,CareerExplorer.com,2023-12-01
Drywall Installer,48k,Annual,US,CareerExplorer.com,2023-12-01
Dyeing Machine Operator,29k,Annual,US,CareerExplorer.com,2023-12-01
Eating Disorder Counselor,N/A,Annual,US,CareerExplorer.com,2023-12-01
Ecologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Ecology Biologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
E-Commerce Developer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Economist,105k,Annual,US,CareerExplorer.com,2023-12-01
Ecotourism Guide,N/A,Annual,US,CareerExplorer.com,2023-12-01
Editor,63k,Annual,US,CareerExplorer.com,2023-12-01
Editorial Makeup Artist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Education Administrator,48k,Annual,US,CareerExplorer.com,2023-12-01
Electrical Engineer,100k,Annual,US,CareerExplorer.com,2023-12-01
Electrician,60k,Annual,US,CareerExplorer.com,2023-12-01
Electronic Assembler,28k,Annual,US,CareerExplorer.com,2023-12-01
Electronics Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Elementary School Teacher,61k,Annual,US,CareerExplorer.com,2023-12-01
Elevator Mechanic,97k,Annual,US,CareerExplorer.com,2023-12-01
Embalmer,47k,Annual,US,CareerExplorer.com,2023-12-01
Emergency Medicine Physician,N/A,Annual,US,CareerExplorer.com,2023-12-01
Endocrinologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Endodontist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Endoscopy Technician,37k,Annual,US,CareerExplorer.com,2023-12-01
Energy Auditor,74k,Annual,US,CareerExplorer.com,2023-12-01
Energy Broker,54k,Annual,US,CareerExplorer.com,2023-12-01
Engineer,98k,Annual,US,CareerExplorer.com,2023-12-01
Engineering Physicist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Engraver,36k,Annual,US,CareerExplorer.com,2023-12-01
Enterprise Architect,N/A,Annual,US,CareerExplorer.com,2023-12-01
Entomologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Entrepreneur,43k,Annual,US,CareerExplorer.com,2023-12-01
Environmental Consultant,76k,Annual,US,CareerExplorer.com,2023-12-01
Environmental Designer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Environmental Engineer,96k,Annual,US,CareerExplorer.com,2023-12-01
Environmental Health Officer,N/A,Annual,US,CareerExplorer.com,2023-12-01
