Job_title,Annual_salary,Salary Frequency,Location,Source,Scrape_date
seo-specialist,#N/A,Annual,US,Builtin,2023-11-30
site-reliability-engineer,"$130,917",Annual,US,Builtin,2023-11-30
social-media-manager,#N/A,Annual,US,Builtin,2023-11-30
software-developer,"$149,721",Annual,US,Builtin,2023-11-30
software-engineer,"$136,228",Annual,US,Builtin,2023-11-30
software-sales-representative,"$100,993",Annual,US,Builtin,2023-11-30
software-test-engineer,"$100,894",Annual,US,Builtin,2023-11-30
sql-developer,"$104,864",Annual,US,Builtin,2023-11-30
systems-engineer,"$123,225",Annual,US,Builtin,2023-11-30
tableau-developer,"$94,349",Annual,US,Builtin,2023-11-30
tech-sales-representative,"$74,454",Annual,US,Builtin,2023-11-30
technical-product-manager,"$121,139",Annual,US,Builtin,2023-11-30
technical-project-manager,"$115,987",Annual,US,Builtin,2023-11-30
technical-recruiter,"$94,841",Annual,US,Builtin,2023-11-30
technical-support,"$70,533",Annual,US,Builtin,2023-11-30
technical-writer,"$78,092",Annual,US,Builtin,2023-11-30
test-engineer,"$101,919",Annual,US,Builtin,2023-11-30
ui-designer,"$84,837",Annual,US,Builtin,2023-11-30
ux-designer,"$93,088",Annual,US,Builtin,2023-11-30
ux-researcher,"$105,855",Annual,US,Builtin,2023-11-30
vice-president-of-care,"$185,246",Annual,US,Builtin,2023-11-30
vice-president-of-engineering,"$223,848",Annual,US,Builtin,2023-11-30
vice-president-of-finance,"$197,810",Annual,US,Builtin,2023-11-30
vice-president-of-human-resources,"$189,484",Annual,US,Builtin,2023-11-30
vice-president-of-marketing,"$199,553",Annual,US,Builtin,2023-11-30
vice-president-of-operations,#N/A,Annual,US,Builtin,2023-11-30
vice-president-of-people,"$184,587",Annual,US,Builtin,2023-11-30
vice-president-of-product,"$217,465",Annual,US,Builtin,2023-11-30
vice-president-of-sales,"$204,613",Annual,US,Builtin,2023-11-30
vice-president-of-talent-acquisition,"$171,431",Annual,US,Builtin,2023-11-30
visual-designer,#N/A,Annual,US,Builtin,2023-11-30
web-designer,"$93,301",Annual,US,Builtin,2023-11-30
web-developer,"$92,435",Annual,US,Builtin,2023-11-30
wordpress-developer,"$71,129",Annual,US,Builtin,2023-11-30
